store_id,lat,lng,country,store_name
1,-52.0326,65.828,IL,store_1
2,-24.9003,169.1503,IL,store_2
3,-72.7814,72.4347,NY,store_3
4,-63.4583,17.8119,CA,store_4
5,75.8777,-34.4158,NY,store_5
6,-89.1008,141.206,CA,store_6
7,-62.0723,33.9489,IL,store_7
8,77.294,-131.0895,IL,store_8
9,51.6938,27.8709,TX,store_9
10,-18.3021,-160.1803,TX,store_10
11,12.0447,106.8228,TX,store_11
12,-52.3002,37.4605,TX,store_12
13,0.7419,158.7353,IL,store_13
14,-63.6168,-73.8978,NY,store_14
15,62.3689,67.9356,NY,store_15
16,-86.8708,-150.6979,CA,store_16
17,-59.8738,13.2336,TX,store_17
18,-73.817,-130.5949,CA,store_18
19,-34.2832,171.8268,CA,store_19
20,-2.7356,54.5025,CA,store_20
